FID,x,y,lslpts
202,2658281.198280000127852,1138631.732760000042617,1
203,2658288.446969999931753,1138631.507579999975860,1
204,2658455.607139999978244,1138631.630949999904260,1
205,2658134.750000000000000,1138629.250000000000000,1
206,2658151.336959999985993,1138634.054350000107661,1
207,2657448.754999999888241,1138633.254999999888241,1
208,2658146.564809999894351,1138635.231480000074953,1
209,2658499.468750000000000,1138637.156250000000000,1
210,2657470.324070000089705,1138637.472220000112429,1
211,2658280.805559999775141,1138637.787040000082925,1
212,2658289.823530000168830,1138638.014710000017658,1
213,2658038.308819999918342,1138644.779409999959171,1
214,2658159.125000000000000,1138643.250000000000000,1
215,2658109.961540000047535,1138644.596150000113994,1
216,2658150.715119999833405,1138646.936049999902025,1
217,2660217.020969999954104,1138647.543550000060350,1
218,2658054.284930000081658,1138647.507639999967068,1
219,2658166.000000000000000,1138648.000000000000000,1
220,2658325.964290000032634,1138650.729589999886230,1
221,2658185.755700000096112,1138646.933759999927133,1
222,2658368.750000000000000,1138652.000000000000000,1
223,2657509.750000000000000,1138653.000000000000000,1
224,2658201.007730000186712,1138651.945880000013858,1
225,2658149.743670000229031,1138654.958859999896958,1
226,2657888.479760000016540,1138653.613469999982044,1
227,2658220.443750000093132,1138655.787500000093132,1
228,2657390.525859999936074,1138662.025859999936074,1
229,2658423.828949999995530,1138663.855260000098497,1
230,2658051.830649999901652,1138663.137099999934435,1
231,2657497.000000000000000,1138659.000000000000000,1
232,2658120.811360000167042,1138660.027269999962300,1
233,2657376.858070000074804,1138657.146829999983311,1
234,2658144.180559999775141,1138666.187500000000000,1
235,2659718.867659999988973,1138668.070099999895319,1
236,2657518.000000000000000,1138670.000000000000000,1
237,2659709.571430000010878,1138675.303569999989122,1
238,2657505.312500000000000,1138677.937500000000000,1
239,2657535.375000000000000,1138676.763969999970868,1
240,2658354.741669999901205,1138679.533330000005662,1
241,2658368.750000000000000,1138680.500000000000000,1
242,2660768.286079999990761,1138686.152059999993071,1
243,2658025.105769999790937,1138687.788459999952465,1
244,2658242.125000000000000,1138684.750000000000000,1
245,2657708.010869999881834,1138691.902169999899343,1
246,2658408.625000000000000,1138691.488099999958649,1
247,2658389.750000000000000,1138691.000000000000000,1
248,2659790.643560000229627,1138695.445539999986067,1
249,2658364.644739999901503,1138699.013160000089556,1
250,2659765.862610000185668,1138698.101349999895319,1
251,2658490.500000000000000,1138699.500000000000000,1
252,2659754.750000000000000,1138706.500000000000000,1
253,2658455.728259999770671,1138706.010870000114664,1
254,2658378.754720000084490,1138705.910380000015721,1
255,2658392.203129999805242,1138705.109380000038072,1
256,2658252.763160000089556,1138708.026319999946281,1
257,2658375.250000000000000,1138711.750000000000000,1
258,2658485.035410000011325,1138708.559009999968112,1
259,2658231.250000000000000,1138709.750000000000000,1
260,2658375.000000000000000,1138714.000000000000000,1
261,2658365.083329999819398,1138718.638890000060201,1
262,2658233.286230000201613,1138717.829709999961779,1
263,2658323.250000000000000,1138720.750000000000000,1
264,2657052.161760000046343,1138723.044119999976829,1
265,2658049.170630000066012,1138723.781750000081956,1
266,2658414.566039999946952,1138723.462259999942034,1
267,2657044.250000000000000,1138726.000000000000000,1
268,2658549.305559999775141,1138727.675929999910295,1
269,2658270.750000000000000,1138727.250000000000000,1
270,2657058.570220000110567,1138726.884830000111833,1
271,2658245.250000000000000,1138728.250000000000000,1
272,2658381.236839999910444,1138728.868419999955222,1
273,2658271.880429999902844,1138731.750000000000000,1
274,2658241.000000000000000,1138732.500000000000000,1
